,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,Tweet After Cleansing
0,1,1,1,0,0,0,0,0,1,1,0,0, disaat semua cowok berusaha melacak perhatian gue loe lantas remehkan perhatian yg gue kasih khusus ke elo basic elo cowok bego 
1,0,1,0,0,0,0,0,0,0,0,0,0, siapa yang telat ngasih tau eluedan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga
2,0,0,0,0,0,0,0,0,0,0,0,0, kadang aku berfikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkalikali kadang aku merasa tuhan itu ninggalkan aku sendirian ketika orangtuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter
3,0,0,0,0,0,0,0,0,0,0,0,0, aku itu aku tau matamu sipit tapi diliat dari mana itu aku
4,1,1,0,1,1,0,0,0,0,0,1,0, kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah
5,1,1,0,1,0,0,0,0,1,0,1,0, ya bani taplak dkk 
6,0,0,0,0,0,0,0,0,0,0,0,0,deklarasi pilkada aman dan anti hoax warga dukuh sari jabon
7,0,1,0,0,0,0,0,0,0,0,0,0,gue baru aja kelar rewatch aldnoah zero paling kampret emang endingnya karakter utama cowonya kena friendzone bray xd 
8,0,0,0,0,0,0,0,0,0,0,0,0,nah admin belanja satu lagi po terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kaw kaw doket mano tu gerai rojak meuaku taipan depan twins baby amp romantika bank islam senawang 
9,0,1,0,0,0,0,0,0,0,0,0,0, enak lg klo smbil ngewe
10,1,1,1,0,0,0,0,0,1,1,0,0,setidaknya gw punya jari tengah buat lu sebelom gw ukur nyali sama bacot lu 
11,1,1,1,0,0,0,0,1,0,1,0,0, banci kaleng malu ga bisa jawab peanyaan kami dari hari lalu nyungsep koe 
12,0,0,0,0,0,0,0,0,0,0,0,0,kalo belajar ekonomi mestinya jago memprivatisasi hati orang duh ironi 
13,1,0,1,0,0,0,0,0,1,1,0,0,aktor huruhara prabowo s ingin lengserkan pemerintahan jokowi nyata
14,1,1,1,0,0,0,0,1,0,1,0,0, bu guru enakan jadi jablay atau guru esde sih menikmati jadi pecun ini guru
15,1,1,1,0,1,0,0,0,0,1,0,0, lawan bicara gw gak intelek kyk loe yg otak gak punya ttg kencing onta gw mengakui hadis nabi dan itu sahih kafir kyk loe pasti menolak makanya loe ahlunnar
16,0,0,0,0,0,0,0,0,0,0,0,0,belakangan ini kok fikiran ampas banget ya
17,0,1,0,0,0,0,0,0,0,0,0,0,ari sarua beki mah repeh monyet
18,1,1,0,1,0,0,0,1,0,0,1,0,jadi cowo itu harus gantle kalo ga gantle itu namanya banci 
19,0,0,0,0,0,0,0,0,0,0,0,0, slga mnr bom 
20,0,1,0,0,0,0,0,0,0,0,0,0,asw ya tapi gua jarang ngambek tacut kw gua kan bucin
21,0,0,0,0,0,0,0,0,0,0,0,0, kalo kamu noob pasti peluang disakitin nya lebih gede si
22,0,0,0,0,0,0,0,0,0,0,0,0, joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g
23,0,0,0,0,0,0,0,0,0,0,0,0,pelajar sma kec bilah hilir deklarasi anti hoax amp pilkada damai
24,0,0,0,0,0,0,0,0,0,0,0,0,bandara udara internasional keajati dibangun oleh gubernur ahmad heryawan tanpa gunakan apbn pemerintah pusat insya allah siap beroperasi bulan depan
25,0,0,0,0,0,0,0,0,0,0,0,0,siapapun gubernur dan presidennya rakyatnya ya kita juga
