,anakjakartaasikasik,anak jakarta asyik asyik baru
0,pakcikdahtua,pak cik sudah tua
1,pakcikmudalagi,pak cik muda lagi
2,t3tapjokowi,tetap jokowi
3,3x,tiga kali
4,aamiin,amin
5,aamiinn,amin
6,aamin,amin
7,aammiin,amin
8,abis,habis
9,abisin,habiskan
10,acau,kacau
11,achok,ahok
12,ad,ada
13,adek,adik
14,adl,adalah
15,adlah,adalah
16,adlh,adalah
17,ado,ada
18,aduhh,aduh
19,aer,air
20,afdol,afdal
21,agamaataualqur,agama alquran
22,agm,agama
23,agma,agama
24,ahaha,haha
25,ahahaha,haha
26,ahehehehe,hehe
27,ahir,akhir
28,ahirnya,akhirnya
29,ahk,ahok
30,ahlamdulillah,alhamdulillah
31,ahli2,para ahli
32,ahlusunnah,ahlus sunah
33,ahmaddani,ahmad dhani
34,aho,ahok
35,ahoax,ahok
36,ahoaxx,ahok
37,ahog,ahok
38,ahokataudjarot,ahok djarot
39,ahokbebanijokowi,ahok beban jokowi
40,ahokbtp,ahok basuki tjahaja purnama
41,ahokditolakwarga,ahok ditolak warga
42,ahokdjarot,ahok djarot
43,ahokdjarotterbukti,ahok djarot terbukti
44,ahokers,ahoker
45,ahokfighter,ahok pejuang
46,ahokforpresident,ahok for presiden
47,ahokisthebest,ahok terbaik
48,ahokjarot,ahok djarot
49,ahokk,ahok
50,ahokmasukbui,ahok masuk bui
51,ahokmeskipun,ahok meskipun
52,ahokpositifjadi,ahok positif jadi
53,ahoksatuputaran,ahok satu putaran
54,ahoksemangat,ahok semangat
55,ahoktersangka,ahok tersangka
56,ahokterzhalimi,ahok terzalimi
57,ahoktetap,ahok tetap
58,ahoktidaksendiri,ahok tidak sendiri
59,ahokUSER,ahok
60,ahook,ahok
61,ahox,ahok
62,aing,aku
63,airmata,air mata
64,aiskrim,es krim
65,aj,saja
66,aja,saja
67,ajaa,saja
68,ajah,saja
69,ajalah,sajalah
70,aje,saja
71,ajg,anjing
72,ajh,saja
73,ajib,hebat
74,ajj,saja
75,ak,aku
76,akalakalan,akal akalan
77,akalakaln,akal akalan
78,akankena,akan kena
79,akherat,akhirat
80,akhi,saudara
81,akhirny,akhirnya
82,akhirnyamush,akhirnya musuh
83,akirnya,akhirnya
84,akn,akan
85,akoh,aku
86,aksiaksi1120aksi112020aksi1120,aksi aksi
87,akumuslim,aku muslim
88,akuwa,aqua
89,alahuakbar,allahu akbar
90,alallohu,alallahu
91,alesan,alasan
92,alhamdulilah,alhamdulillah
93,alhamdulillaah,alhamdulillah
94,alhamdullilah,alhamdulillah
95,alhmdllh,alhamdulillah
96,allahuakbar,allahu akbar
97,allahughayatuna,allahu ghayatuna
98,alloh,allah
99,allohu,allahu
100,alqur,alquran
101,ama,sama
102,amaca,ah masa
103,amajing,luar biasa
104,amcaman,ancaman
105,amiin,amin
106,aminn,amin
107,ampe,sampai
108,amriki,amerika
109,amuh,kamu
110,ana,saya
111,anbiarkekinian,biar kekinian
112,ancen,memang
113,ancur,hancur
114,ancuur,hancur
115,ane,saya
116,aneh2,aneh aneh
117,anget,hangat
118,angktpn,angkatpun
119,anjeng,anjing
120,anjg,anjing
121,ank,anak
122,anomaly,anomali
123,antikorupsi,anti korupsi
124,antum,kalian
125,anugrah,anugerah
126,ap,apa
127,apa2,apa apa
128,apaapaan,apa apaan
129,apaapalah,apa sajalah
130,apah,apa
131,apakabar,apa kabar
132,apalg,apa lagi
133,apamaunya,apa maunya
134,apane,apanya
135,apaoun,apapun
136,apasih,apa sih
137,ape,apa
138,apenista,penista
139,aph,apa
140,apk,apakah
141,aplgi,apa lagi
142,apo,apa
143,apose,apa sih
144,apz,apa
145,aq,aku
146,aquh,aku
147,artinx,artinya
148,asek,asyik
149,aseng,asing
150,asew,anjing
151,asik,asyik
152,ask,tanya
153,asline,aslinya
154,assalamualaikumalhamdulillahhasil,assalamualaykum alhamdulillah hasil
155,assalamuallaikum,assalamualaykum
156,asu,anjing
157,asw,anjing
158,asyek,asyik
159,atauatau05atauatau0atauatau0,atau
160,atauatauatau,atau
161,atauatauatau201atauatau201atauatauatau201atauatau,atau
162,atauatauatauatau,atau
163,atauatauatauatauatauatauatauatauatauatau,atau
164,atauem,atau
165,atauhr,atau
166,ataus,atau
167,ati,hati
168,ati2,hati hati
169,atit,sakit
170,ato,atau
171,atribut2,atribut atribut
172,atu,satu
173,atw,atau
174,awkeren,keren
175,awutawutan,awut awutan
176,aya,ada
177,ayang,sayang
178,ayok,ayo
179,ayoo,ayo
180,ayosavepakahok,ayo lindungi pak ahok
181,ayuk,ayo
182,aza,saja
183,azhan,azan
184,babeh,ayah
185,badboy,bad boy
186,badjingan,bajingan
187,bae,baik
188,bagaimnpun,bagaimana
189,bagi2,bagi bagi
190,bagimane,bagaimana
191,bahwasannya,bahwasanya
192,bakalan,akan
193,balaikota,balai kota
194,bales,balas
195,balikin,kembalikan
196,baliq,balig
197,bandarq,bandarku
198,banding2in,membanding bandingkan
199,bandingin,bandingkan
200,banga,bangsa
201,banged,banget
202,bangen,banget
203,bangett,banget
204,bangettt,banget
205,bangke,bangkai
206,bangsag,bangsat
207,bangst,bangsat
208,bantuk,bentuk
209,banun,bangun
210,banyak2,perbanyak
211,banyakin,perbanyak
212,bapake,ayahnya
213,baper,bawa perasaan
214,baryaw,sabar ya
215,baryw,sabar ya
216,baso,bakso
217,basukibtp,basuki tjahaja purnama
218,basukigameover,basuki kalah
219,bat,banget
220,bauu,bau
221,bawak,bawa
222,bay,selamat tinggal
223,bayangin,bayangkan
224,bayaranatausuruhan,bayaran atau suruhan
225,bbrapa,beberapa
226,bbrp,beberapa
227,bc,baca
228,bct,bacot
229,bda,beda
230,bdan,badan
231,bdg,bandung
232,bdn,badan
233,becanda,bercanda
234,bedoa,berdoa
235,bedua,berdua
236,bege,bego
237,bejad,bejat
238,bekel,bekal
239,bekingin,lindungi
240,belaislambelaislambelaislam,bela islam
241,belaquran,bela alquran
242,beliin,belikan
243,belom,belum
244,belon,belum
245,benar2,benar benar
246,bener,benar
247,bener2,benar benar
248,beneran,benaran
249,berantem,bertengkar
250,berdo,berdoa
251,berenti,berhenti
252,berfikir,berpikir
253,bergengam,bergenggam
254,bergoncang,berguncang
255,berindak,bertindak
256,beritadan,berita dan
257,beritain,memberitakan
258,beritany,beritanya
259,beritaterkini,berita kini
260,berkacaberkacanya,berkaca kaca
261,berrti,berarti
262,bersyukrlah,bersyukurlah
263,beruk2,beruk beruk
264,besoq,besok
265,bet,banget
266,bete,sebal
267,betulin,betulkan
268,beud,banget
269,beut,banget
270,bg,bagi
271,bgd,banget
272,bgerak,bergerak
273,bget,banget
274,bgi,bagi
275,bgini,begini
276,bgitu,begitu
277,bgks,bungkus
278,bgm,bagaimana
279,bgmn,bagaimana
280,bgmna,bagaimana
281,bgn,bangun
282,bgni,begini
283,bgntdr,bangun tidur
284,bgs,bagus
285,bgst,bangsat
286,bgt,banget
287,bgtu,begitu
288,bgus,bagus
289,bhay,selamat tinggal
290,bhinekaan,bhineka
291,bhinneka,bhineka
292,bhkan,bahkan
293,bhn,bahan
294,bhong,bohong
295,bhs,bahas
296,bhw,bahwa
297,bhwa,bahwa
298,bhy,bahaya
299,biarin,biarkan
300,biarpn,biarpun
301,bijimane,bagaimana
302,bisenye,bisanya
303,bistu,habis itu
304,bisya,bisa
305,biza,bisa
306,bj,baju
307,bju,baju
308,bk,buku
309,bkan,bukan
310,bkap,ayah
311,bkin,bikin
312,bkl,bakal
313,bkn,bukan
314,bkna,bukannya
315,bkp,ayah
316,bkr,bakar
317,bks,bungkus
318,bl,beli
319,blajar,belajar
320,blakan,blak
321,blg,bilang
322,blh,boleh
323,bli,beli
324,blik,balik
325,blingsatanya,belingsatan
326,bljr,belajar
327,blk,balik
328,blkg,belakang
329,blkng,belakang
330,blkngny,belakangnya
331,blm,belum
332,bln,bulan
333,blng,bilang
334,blngn,bilangan
335,blom,belum
336,blon,belum
337,bloon,belum
338,bls,balas
339,blum,belum
340,blusukan,blusuk
341,bndg,bandung
342,bndr,bandar
343,bner,benar
344,bneran,benar
345,bnget,banget
346,bngks,bungkus
347,bngng,bingung
348,bngsa,bangsa
349,bngt,banget
350,bngun,bangun
351,bnr,benar
352,bnrbnr,benar benar
353,bnrn,benaran
354,bntar,sebentar
355,bntr,sebentar
356,bnyak,banyak
357,bnyk,banyak
358,bnykny,banyaknya
359,bobo,tidur
360,bobok,tidur
361,bodo,bodoh
362,bokap,ayah
363,bokaps,ayah
364,bokapz,ayah
365,bole,boleh
366,boong,bohong
367,bosen,bosan
368,boskuh,bosku
369,boten,tidak
370,bozen,bosan
371,bozn,bosan
372,bp,bapak
373,bpak,bapak
374,bpk,bapak
375,br,baru
376,brani,berani
377,brantas,berantas
378,brapa,berapa
379,brarti,berarti
380,brasa,berasa
381,bravoo,bravo
382,breake,istirahat
383,breaking,istirahat
384,brengsek,berengsek
385,brg,barang
386,brgkt,berangkat
387,brharap,berharap
388,brhsl,berhasil
389,brikut,berikut
390,bringas,beringas
391,brisik,berisik
392,brjln,berjalan
393,brjuang,berjuang
394,brkeliaran,berkeliaran
395,brkfst,sarapan
396,brkpntingan,berkepentingan
397,brkumandang,berkumandang
398,brmslh,bermasalah
399,brngkt,berangkat
400,brp,berapa
401,brpa,berapa
402,brpedoman,berpedoman
403,brrti,berarti
404,brs,beres
405,brsal,berasal
406,brsama,bersama
407,brsamamu,bersamamu
408,brshbt,bersahabat
409,brsm,bersama
410,brtahan,bertahan
411,brthn,bertahan
412,brtmn,berteman
413,bru,baru
414,bruh,buruh
415,bryaw,sabar ya
416,bryw,sabar ya
